#115000
#time	magnetization	energy	
0	0.103200	-1.228800
1	0.086000	-1.237200
2	0.095000	-1.223400
3	0.087000	-1.232000
4	0.080800	-1.233400
5	0.085800	-1.215200
6	0.062000	-1.232400
7	0.065400	-1.233000
8	0.064200	-1.241000
9	0.062400	-1.226400
10	0.043400	-1.209000
11	0.088400	-1.236800
12	0.100800	-1.217200
13	0.109200	-1.235400
14	0.134000	-1.246800
15	0.136400	-1.236800
16	0.121600	-1.243200
17	0.106200	-1.218200
18	0.126600	-1.240200
19	0.129200	-1.233800
20	0.096200	-1.226600
21	0.102800	-1.213800
22	0.117800	-1.230200
23	0.123000	-1.230200
24	0.097200	-1.220800
25	0.084800	-1.223200
26	0.057800	-1.232000
27	0.025200	-1.222200
28	0.023600	-1.248600
29	0.020000	-1.239800
30	-0.006000	-1.234800
31	-0.033000	-1.227000
32	-0.034200	-1.236800
33	0.004200	-1.224600
34	0.004800	-1.230400
35	-0.016400	-1.235600
36	-0.038800	-1.235200
37	-0.035800	-1.249000
38	-0.046200	-1.244400
39	-0.040800	-1.233800
40	-0.048600	-1.250400
41	-0.075800	-1.239200
42	-0.052000	-1.225400
43	-0.028000	-1.229400
44	-0.004800	-1.229600
45	-0.017600	-1.221000
46	-0.028200	-1.226000
47	-0.037600	-1.225600
48	-0.016800	-1.221000
49	-0.004400	-1.227600
50	0.012400	-1.223800
51	0.047800	-1.228200
52	0.028200	-1.234000
53	0.010800	-1.229000
54	0.023800	-1.230400
55	0.018000	-1.228600
56	0.023400	-1.220200
57	0.031000	-1.228600
58	0.038000	-1.240400
59	0.038200	-1.214800
60	0.076400	-1.221000
61	0.102200	-1.214400
62	0.111200	-1.219800
63	0.087000	-1.220200
64	0.095200	-1.208400
65	0.113800	-1.208200
66	0.136200	-1.205800
67	0.134200	-1.229600
68	0.140400	-1.217800
69	0.137400	-1.228000
70	0.115000	-1.217200
71	0.131200	-1.224800
72	0.143800	-1.218400
73	0.131800	-1.223200
