#120000
#time	magnetization	energy	
0	0.074200	-0.946600
1	0.049600	-0.965600
2	0.053200	-0.958600
3	0.070200	-0.968800
4	0.069400	-0.954400
5	0.039000	-0.959400
6	0.050000	-0.988600
7	0.017400	-0.971600
8	0.007200	-0.963000
9	0.036800	-0.966200
10	0.036400	-0.958400
11	0.028200	-0.955400
12	0.001400	-0.942400
13	0.045000	-0.960800
14	0.090000	-0.951200
15	0.064200	-0.953200
16	0.081200	-0.959200
17	0.082600	-0.963200
18	0.096400	-0.954600
19	0.091600	-0.954800
20	0.076400	-0.980200
21	0.056000	-0.969000
22	0.005800	-0.956800
23	0.007000	-0.950400
24	0.005200	-0.956600
25	0.011200	-0.961000
26	0.007000	-0.965800
27	-0.008800	-0.950600
28	-0.018400	-0.948800
29	-0.025600	-0.974000
30	-0.023200	-0.952400
31	-0.001400	-0.941600
32	0.027800	-0.942000
33	0.081000	-0.960400
34	0.087000	-0.956800
35	0.061800	-0.932400
36	0.075200	-0.967000
37	0.057800	-0.970800
38	0.021600	-0.951200
39	0.011200	-0.952400
40	0.038000	-0.947800
41	0.003000	-0.954600
42	-0.022400	-0.958200
43	-0.035400	-0.960600
44	-0.028200	-0.964600
45	-0.027000	-0.954600
46	-0.037000	-0.960400
47	-0.030200	-0.972800
48	-0.016400	-0.942800
49	-0.010200	-0.946800
50	-0.007200	-0.949800
51	0.001000	-0.951600
52	-0.032600	-0.957800
53	-0.019000	-0.954600
54	-0.042200	-0.959000
55	-0.048800	-0.949600
56	-0.030600	-0.951400
57	-0.057200	-0.955200
58	-0.070400	-0.956400
59	-0.053600	-0.943000
60	-0.028400	-0.972600
61	-0.037400	-0.962400
62	-0.027400	-0.954600
63	-0.039600	-0.939200
64	-0.034400	-0.939600
65	-0.019800	-0.961200
66	-0.004800	-0.945000
67	0.018800	-0.955600
68	0.078200	-0.971400
69	0.040600	-0.962800
70	0.078400	-0.963000
71	0.077800	-0.958800
72	0.093800	-0.964200
73	0.016200	-0.953400
74	-0.014800	-0.940600
75	-0.018600	-0.951200
76	-0.028000	-0.945000
77	-0.007200	-0.949200
78	-0.043600	-0.953200
79	-0.066200	-0.956600
80	-0.064600	-0.970800
81	-0.061600	-0.965800
82	0.000800	-0.948600
83	-0.013000	-0.963000
84	0.037400	-0.958600
85	0.089800	-0.956600
86	0.084800	-0.960200
87	0.078400	-0.961600
88	0.079000	-0.946600
89	0.070200	-0.944800
90	0.033600	-0.948800
91	0.015200	-0.949000
92	0.020000	-0.945800
93	0.028600	-0.951400
94	0.019000	-0.949600
95	-0.002000	-0.953600
96	-0.031600	-0.949000
97	0.002000	-0.960200
98	-0.022600	-0.944400
99	-0.057800	-0.963200
100	-0.009600	-0.960400
101	-0.020200	-0.957200
102	-0.010000	-0.965400
103	-0.001800	-0.965800
104	-0.002800	-0.966400
105	-0.007200	-0.965200
106	0.015200	-0.960400
107	0.005800	-0.965800
108	0.017200	-0.971000
109	-0.019200	-0.955200
110	-0.005600	-0.974800
111	-0.007400	-0.952800
112	0.021200	-0.968400
113	0.029800	-0.965200
114	0.032200	-0.957000
115	0.098800	-0.949600
116	0.113200	-0.967600
117	0.088600	-0.938200
118	0.075400	-0.952400
119	0.057200	-0.962000
120	0.053400	-0.944800
121	0.034400	-0.939800
122	-0.004600	-0.957200
123	-0.023600	-0.957600
124	-0.034000	-0.944200
125	-0.069200	-0.944000
126	-0.098200	-0.951000
127	-0.065200	-0.956200
128	-0.070200	-0.946800
129	-0.065400	-0.964800
130	-0.090400	-0.969600
131	-0.097600	-0.958400
132	-0.095000	-0.961200
133	-0.068400	-0.974800
134	-0.064600	-0.965200
135	-0.064800	-0.964000
136	-0.050400	-0.960000
137	-0.030200	-0.959800
138	-0.025400	-0.959400
139	-0.084000	-0.976200
140	-0.056800	-0.982000
141	-0.057400	-0.953400
142	-0.045400	-0.965400
143	-0.019400	-0.969200
144	-0.003200	-0.945600
145	-0.018600	-0.976600
146	-0.030000	-0.962400
147	-0.018800	-0.955200
148	-0.020000	-0.968200
149	-0.006000	-0.948400
150	-0.018600	-0.964600
151	0.012800	-0.965600
152	0.004000	-0.943600
153	0.016000	-0.957200
154	-0.019400	-0.953600
155	-0.012800	-0.959800
156	-0.047200	-0.979000
157	-0.028200	-0.958600
158	-0.014400	-0.953600
159	0.023600	-0.964400
160	0.024400	-0.950200
161	0.036400	-0.943000
162	0.061800	-0.942200
163	0.039000	-0.954200
164	0.047400	-0.960200
165	0.064400	-0.958800
166	0.075400	-0.976800
167	0.029000	-0.961400
168	0.068000	-0.951600
169	0.084600	-0.950600
170	0.106400	-0.950000
171	0.095600	-0.958000
172	0.024200	-0.953600
173	0.024400	-0.948000
174	-0.010400	-0.933600
175	0.009200	-0.953200
176	0.014200	-0.956000
177	0.013200	-0.968800
178	0.042800	-0.974600
179	0.033400	-0.959800
180	0.024000	-0.951200
181	-0.002800	-0.964600
182	-0.043600	-0.969400
183	-0.058000	-0.968400
184	-0.040200	-0.964800
185	-0.018800	-0.959600
186	-0.024800	-0.939400
187	-0.036800	-0.939600
188	-0.046400	-0.968400
189	-0.053800	-0.947600
190	-0.059000	-0.934200
191	-0.069800	-0.947200
192	-0.056600	-0.956800
193	-0.018400	-0.942400
194	0.032000	-0.970200
195	0.038600	-0.950400
196	-0.006800	-0.949400
197	-0.029000	-0.951000
198	-0.042400	-0.962200
199	-0.058600	-0.973000
200	-0.025800	-0.965400
201	-0.043600	-0.975800
202	-0.054800	-0.975400
203	-0.073800	-0.960000
204	-0.044200	-0.957200
205	-0.004600	-0.959600
206	-0.019200	-0.949400
207	-0.013800	-0.962400
208	-0.022200	-0.950600
209	-0.001600	-0.940600
210	-0.026600	-0.955800
211	-0.039200	-0.946000
212	-0.033200	-0.956000
213	-0.055400	-0.949000
214	0.005600	-0.947200
215	0.051000	-0.958600
216	0.083600	-0.950200
217	0.054000	-0.941400
218	0.030200	-0.953200
219	0.039000	-0.945600
220	0.036000	-0.953400
221	0.011400	-0.978400
222	-0.007000	-0.958000
223	0.000200	-0.956800
224	0.012600	-0.946800
225	0.044400	-0.963200
226	0.056000	-0.952800
227	0.039400	-0.955800
228	0.035200	-0.961800
229	0.049800	-0.955800
230	0.065200	-0.954800
231	0.048600	-0.960200
232	0.083200	-0.978400
233	0.061600	-0.972200
234	0.050400	-0.971000
235	0.094800	-0.977800
236	0.071200	-0.976600
237	0.036400	-0.981600
238	0.030400	-0.966000
239	0.013400	-0.954400
240	0.020600	-0.956400
241	0.012000	-0.958000
242	0.061200	-0.962200
243	0.052400	-0.961200
244	0.063000	-0.949400
245	0.044000	-0.953000
246	0.087400	-0.970600
247	0.088600	-0.955200
248	0.077400	-0.954400
249	0.085400	-0.960200
250	0.070200	-0.963200
251	0.020800	-0.952600
252	0.002400	-0.952400
253	0.021400	-0.967800
254	0.066200	-0.946000
255	0.065200	-0.944800
256	0.036800	-0.949600
257	-0.005200	-0.963400
258	-0.036000	-0.959600
259	-0.032200	-0.947600
260	-0.022200	-0.968200
261	-0.023600	-0.963200
262	-0.010000	-0.952800
263	0.001000	-0.955000
264	0.021400	-0.970400
265	0.022000	-0.928600
266	0.015800	-0.939400
267	0.058600	-0.949400
268	0.043600	-0.959400
269	0.051400	-0.970000
270	0.045400	-0.967400
271	0.087600	-0.967000
272	0.095000	-0.966400
273	0.094800	-0.953600
274	0.111200	-0.976000
275	0.109800	-0.930200
276	0.098600	-0.952400
277	0.082800	-0.950800
278	0.052400	-0.951600
279	-0.010800	-0.959000
280	-0.012800	-0.956600
281	-0.008000	-0.955400
282	-0.000400	-0.971600
283	-0.031400	-0.944400
284	-0.045600	-0.957000
285	-0.027200	-0.966200
286	-0.022400	-0.937800
287	-0.017000	-0.950000
288	-0.010400	-0.957400
289	-0.008200	-0.961200
290	-0.017000	-0.962000
291	-0.063800	-0.947200
292	-0.087800	-0.958600
293	-0.076200	-0.960600
294	-0.057800	-0.959200
295	-0.046600	-0.970600
296	-0.050800	-0.991000
297	-0.025400	-0.972000
298	-0.024600	-0.961000
299	-0.009400	-0.947400
300	0.014400	-0.952800
301	0.005400	-0.956200
302	-0.024400	-0.962600
303	-0.016000	-0.965600
304	-0.038200	-0.978400
305	-0.016400	-0.950200
306	0.028800	-0.959800
307	0.031200	-0.959200
308	0.048400	-0.953000
309	0.026200	-0.984200
310	0.034000	-0.952800
311	0.053800	-0.957600
312	0.061000	-0.952800
313	0.049600	-0.953400
314	0.075400	-0.971200
315	0.107200	-0.955600
316	0.098000	-0.963600
317	0.055800	-0.962600
318	0.100200	-0.972800
319	0.031600	-0.957200
320	0.018400	-0.978600
321	0.020400	-0.972000
322	0.008400	-0.946800
323	-0.026400	-0.956000
324	-0.002800	-0.959200
325	-0.026200	-0.961000
326	-0.045400	-0.953800
327	-0.056200	-0.959400
328	-0.005200	-0.958400
329	-0.016000	-0.953400
330	-0.040200	-0.957600
331	-0.055200	-0.955000
332	-0.040600	-0.955800
333	-0.041600	-0.965200
334	-0.023800	-0.957400
335	-0.031000	-0.957400
336	-0.046000	-0.946800
337	-0.043200	-0.960000
338	-0.024400	-0.942000
339	-0.072400	-0.968600
340	-0.065600	-0.961200
341	-0.038200	-0.938000
342	0.021200	-0.953000
343	0.030800	-0.971200
344	-0.005400	-0.951000
345	0.016000	-0.951200
346	0.023000	-0.956600
347	-0.002200	-0.966000
348	-0.031600	-0.959800
349	-0.023400	-0.943600
350	-0.011600	-0.944600
351	-0.002800	-0.971800
352	-0.027600	-0.973800
353	-0.036200	-0.928600
354	0.008000	-0.952800
355	0.008400	-0.937400
356	0.002800	-0.944400
357	0.056400	-0.958400
358	0.081000	-0.952600
359	0.122000	-0.956600
360	0.048400	-0.964200
361	0.066600	-0.966000
362	0.100400	-0.953800
363	0.056200	-0.933800
364	0.052200	-0.950000
365	0.070600	-0.956200
366	0.022000	-0.957800
367	0.044600	-0.953400
368	0.012200	-0.957800
369	-0.029000	-0.964800
370	-0.082600	-0.960800
371	-0.067800	-0.950000
372	-0.062000	-0.968200
373	-0.051600	-0.965000
374	-0.043600	-0.966000
375	-0.074000	-0.970600
376	-0.095200	-0.963400
377	-0.059200	-0.974600
378	-0.060600	-0.954400
379	-0.045200	-0.945600
380	-0.034400	-0.957600
381	-0.045000	-0.951600
382	-0.030600	-0.959000
383	-0.013400	-0.954000
384	-0.019000	-0.938400
385	-0.029000	-0.969800
386	-0.034200	-0.963200
387	-0.024400	-0.952600
388	-0.034800	-0.948000
389	-0.036400	-0.952400
390	-0.020600	-0.918600
391	0.003800	-0.948400
392	0.032600	-0.957600
393	0.061000	-0.950000
394	0.030800	-0.941800
395	0.051400	-0.972000
396	0.049800	-0.969000
397	0.075000	-0.953800
398	0.043800	-0.957200
399	0.046800	-0.945600
400	0.040600	-0.962200
401	0.030400	-0.960200
402	0.047800	-0.949800
403	0.070200	-0.959600
404	0.031600	-0.957200
405	0.086200	-0.979400
406	0.096200	-0.959600
407	0.089400	-0.961600
408	0.117800	-0.955800
409	0.134600	-0.964600
410	0.148000	-0.972600
411	0.119400	-0.966600
412	0.087400	-0.956400
413	0.081600	-0.963600
414	0.081800	-0.969800
415	0.086200	-0.966000
416	0.081000	-0.939000
417	0.078000	-0.963600
418	0.026400	-0.950200
419	0.018000	-0.953000
420	0.006000	-0.944400
421	0.015400	-0.953600
422	-0.005000	-0.953200
423	0.018400	-0.945800
424	-0.020800	-0.950000
425	-0.042400	-0.946600
426	-0.005600	-0.963000
427	0.009400	-0.960000
428	0.012200	-0.972800
429	-0.037400	-0.956000
430	-0.051200	-0.945200
431	0.028800	-0.946200
432	0.021800	-0.959800
433	0.011200	-0.962200
434	0.036800	-0.958800
435	0.040000	-0.962800
436	0.025000	-0.954400
437	0.029200	-0.950800
438	0.064000	-0.945000
439	0.039200	-0.971800
440	0.024800	-0.941400
441	0.027400	-0.946400
442	0.013200	-0.951800
443	-0.017600	-0.939200
444	0.002000	-0.948000
445	-0.011800	-0.943400
446	0.009600	-0.949600
447	-0.010200	-0.965000
448	0.023000	-0.962600
449	0.040800	-0.947600
450	0.031200	-0.966400
451	0.035400	-0.968200
452	0.034600	-0.968800
453	0.016000	-0.980200
454	-0.009800	-0.968200
455	-0.028800	-0.987400
456	0.005200	-0.968800
457	-0.003600	-0.962800
458	-0.035600	-0.974400
459	-0.043600	-0.974000
460	-0.044400	-0.958600
461	-0.028400	-0.935200
462	-0.018400	-0.962200
463	0.003000	-0.971200
464	0.012000	-0.964400
465	0.005000	-0.972200
466	-0.019600	-0.946200
467	-0.009000	-0.963800
468	-0.031400	-0.953600
469	-0.000800	-0.962400
470	0.008600	-0.950600
471	0.004000	-0.969000
472	0.000600	-0.952600
473	0.002200	-0.951400
474	0.017200	-0.957400
475	0.055400	-0.954200
476	0.050600	-0.964600
477	0.000600	-0.948000
478	0.007600	-0.943800
479	0.015800	-0.939000
480	0.027600	-0.965200
481	0.012000	-0.984800
482	0.020200	-0.961400
483	-0.034600	-0.955800
484	-0.013200	-0.949600
485	-0.029600	-0.964800
486	-0.022400	-0.976400
487	-0.020000	-0.954800
488	-0.010200	-0.968600
489	0.000200	-0.950400
490	-0.014800	-0.974000
491	-0.041600	-0.961200
492	-0.044800	-0.965600
493	-0.016800	-0.950200
494	0.013800	-0.965200
495	0.003800	-0.963800
496	0.034200	-0.965800
497	0.006800	-0.965000
498	0.009200	-0.961200
499	0.014000	-0.949600
500	0.017200	-0.975000
501	0.016400	-0.973800
502	0.023800	-0.978400
503	0.038000	-0.965400
504	0.013000	-0.964800
505	-0.003200	-0.953800
506	0.023800	-0.958800
