#35028
#time	magnetization	energy	
0	-0.118750	-1.227500
1	-0.181250	-1.316250
2	-0.223750	-1.297500
3	-0.081250	-1.256250
4	-0.171250	-1.298750
5	-0.375000	-1.337500
6	-0.331250	-1.321250
7	-0.292500	-1.321250
8	-0.316250	-1.325000
9	-0.268750	-1.383750
10	-0.171250	-1.296250
11	-0.208750	-1.325000
12	-0.283750	-1.283750
13	-0.145000	-1.288750
14	-0.228750	-1.303750
15	-0.296250	-1.321250
16	-0.262500	-1.253750
17	-0.272500	-1.290000
18	-0.351250	-1.280000
19	-0.418750	-1.253750
20	-0.381250	-1.313750
21	-0.201250	-1.280000
22	-0.202500	-1.261250
23	-0.200000	-1.230000
24	-0.086250	-1.307500
25	-0.145000	-1.275000
26	-0.001250	-1.270000
27	-0.016250	-1.221250
28	-0.052500	-1.266250
29	-0.011250	-1.245000
30	-0.002500	-1.298750
31	-0.060000	-1.295000
32	0.075000	-1.257500
33	0.045000	-1.267500
34	0.062500	-1.280000
35	0.077500	-1.300000
36	0.017500	-1.238750
37	0.093750	-1.277500
38	-0.027500	-1.303750
39	0.110000	-1.275000
40	0.095000	-1.256250
41	0.085000	-1.260000
42	0.135000	-1.317500
43	0.041250	-1.295000
44	0.103750	-1.245000
45	-0.043750	-1.277500
46	-0.223750	-1.230000
47	-0.250000	-1.232500
48	-0.386250	-1.282500
49	-0.427500	-1.270000
50	-0.538750	-1.315000
51	-0.507500	-1.337500
52	-0.558750	-1.318750
53	-0.632500	-1.360000
54	-0.473750	-1.305000
55	-0.402500	-1.268750
56	-0.528750	-1.301250
57	-0.552500	-1.315000
58	-0.537500	-1.328750
59	-0.473750	-1.320000
60	-0.336250	-1.292500
61	-0.283750	-1.295000
62	-0.315000	-1.231250
63	-0.366250	-1.295000
64	-0.226250	-1.260000
65	-0.193750	-1.266250
66	-0.096250	-1.258750
67	-0.248750	-1.292500
68	-0.292500	-1.295000
69	-0.323750	-1.293750
70	-0.341250	-1.310000
71	-0.318750	-1.266250
72	-0.437500	-1.231250
73	-0.580000	-1.305000
74	-0.678750	-1.358750
75	-0.652500	-1.343750
76	-0.743750	-1.376250
77	-0.610000	-1.371250
78	-0.585000	-1.328750
79	-0.661250	-1.360000
80	-0.717500	-1.381250
81	-0.608750	-1.357500
82	-0.502500	-1.327500
83	-0.357500	-1.290000
84	-0.251250	-1.262500
85	-0.315000	-1.243750
86	-0.365000	-1.211250
87	-0.458750	-1.297500
88	-0.476250	-1.275000
89	-0.592500	-1.326250
90	-0.440000	-1.280000
91	-0.511250	-1.305000
92	-0.631250	-1.325000
93	-0.596250	-1.295000
94	-0.691250	-1.345000
95	-0.701250	-1.357500
96	-0.673750	-1.341250
97	-0.711250	-1.345000
98	-0.576250	-1.327500
99	-0.497500	-1.300000
100	-0.587500	-1.340000
101	-0.552500	-1.316250
102	-0.481250	-1.273750
103	-0.573750	-1.306250
104	-0.641250	-1.343750
105	-0.605000	-1.312500
106	-0.756250	-1.381250
107	-0.756250	-1.385000
108	-0.738750	-1.381250
109	-0.701250	-1.362500
110	-0.642500	-1.320000
111	-0.576250	-1.291250
112	-0.570000	-1.333750
113	-0.705000	-1.347500
114	-0.627500	-1.332500
115	-0.505000	-1.297500
116	-0.537500	-1.307500
117	-0.477500	-1.340000
118	-0.372500	-1.255000
119	-0.433750	-1.285000
120	-0.491250	-1.353750
121	-0.410000	-1.290000
122	-0.372500	-1.255000
123	-0.366250	-1.275000
124	-0.327500	-1.258750
125	-0.258750	-1.283750
126	-0.368750	-1.273750
127	-0.443750	-1.347500
128	-0.473750	-1.302500
129	-0.366250	-1.262500
130	-0.331250	-1.295000
131	-0.416250	-1.322500
132	-0.316250	-1.258750
133	-0.352500	-1.248750
134	-0.392500	-1.297500
135	-0.362500	-1.255000
136	-0.320000	-1.280000
137	-0.326250	-1.280000
138	-0.351250	-1.247500
139	-0.453750	-1.305000
140	-0.400000	-1.253750
141	-0.353750	-1.322500
142	-0.285000	-1.257500
143	-0.331250	-1.251250
144	-0.477500	-1.335000
145	-0.526250	-1.335000
146	-0.472500	-1.250000
147	-0.507500	-1.315000
148	-0.567500	-1.322500
149	-0.583750	-1.297500
150	-0.657500	-1.356250
151	-0.600000	-1.323750
152	-0.458750	-1.302500
153	-0.407500	-1.277500
154	-0.436250	-1.302500
155	-0.290000	-1.231250
156	-0.186250	-1.277500
157	-0.256250	-1.317500
158	-0.255000	-1.330000
159	-0.347500	-1.340000
160	-0.240000	-1.307500
161	-0.371250	-1.281250
162	-0.445000	-1.308750
163	-0.495000	-1.332500
164	-0.633750	-1.321250
165	-0.647500	-1.318750
166	-0.766250	-1.410000
167	-0.700000	-1.377500
168	-0.613750	-1.317500
169	-0.608750	-1.315000
170	-0.742500	-1.383750
171	-0.687500	-1.343750
172	-0.563750	-1.301250
173	-0.630000	-1.328750
174	-0.661250	-1.305000
175	-0.683750	-1.355000
176	-0.573750	-1.302500
177	-0.505000	-1.247500
178	-0.611250	-1.356250
179	-0.390000	-1.262500
180	-0.493750	-1.336250
181	-0.560000	-1.262500
182	-0.511250	-1.307500
183	-0.690000	-1.362500
184	-0.753750	-1.390000
185	-0.691250	-1.325000
186	-0.666250	-1.320000
187	-0.737500	-1.348750
188	-0.752500	-1.370000
189	-0.651250	-1.326250
190	-0.728750	-1.385000
191	-0.591250	-1.328750
192	-0.603750	-1.308750
193	-0.741250	-1.362500
194	-0.706250	-1.348750
195	-0.672500	-1.340000
196	-0.721250	-1.338750
197	-0.680000	-1.336250
198	-0.720000	-1.348750
199	-0.730000	-1.370000
200	-0.707500	-1.375000
201	-0.691250	-1.372500
202	-0.761250	-1.392500
203	-0.602500	-1.335000
204	-0.656250	-1.357500
205	-0.602500	-1.316250
206	-0.646250	-1.340000
207	-0.627500	-1.305000
208	-0.571250	-1.268750
209	-0.536250	-1.353750
210	-0.647500	-1.315000
211	-0.607500	-1.315000
212	-0.672500	-1.362500
213	-0.590000	-1.330000
214	-0.623750	-1.315000
215	-0.617500	-1.370000
216	-0.545000	-1.287500
217	-0.477500	-1.285000
218	-0.420000	-1.253750
219	-0.427500	-1.278750
220	-0.438750	-1.292500
221	-0.487500	-1.307500
222	-0.515000	-1.303750
223	-0.631250	-1.358750
224	-0.442500	-1.256250
225	-0.541250	-1.280000
226	-0.607500	-1.362500
227	-0.756250	-1.376250
228	-0.728750	-1.365000
229	-0.621250	-1.286250
230	-0.708750	-1.340000
231	-0.728750	-1.372500
232	-0.685000	-1.327500
233	-0.768750	-1.407500
234	-0.747500	-1.372500
235	-0.753750	-1.406250
236	-0.642500	-1.367500
237	-0.600000	-1.326250
238	-0.628750	-1.341250
239	-0.538750	-1.306250
240	-0.565000	-1.302500
241	-0.470000	-1.285000
242	-0.548750	-1.302500
243	-0.563750	-1.293750
244	-0.608750	-1.356250
245	-0.485000	-1.291250
246	-0.568750	-1.360000
247	-0.650000	-1.361250
248	-0.631250	-1.333750
249	-0.635000	-1.371250
250	-0.616250	-1.360000
251	-0.666250	-1.338750
252	-0.610000	-1.311250
253	-0.667500	-1.367500
254	-0.650000	-1.338750
255	-0.620000	-1.316250
256	-0.650000	-1.323750
257	-0.597500	-1.318750
258	-0.572500	-1.291250
259	-0.598750	-1.376250
260	-0.558750	-1.337500
261	-0.563750	-1.303750
262	-0.563750	-1.311250
263	-0.593750	-1.306250
264	-0.462500	-1.310000
265	-0.487500	-1.283750
266	-0.457500	-1.293750
267	-0.375000	-1.328750
268	-0.450000	-1.296250
269	-0.472500	-1.318750
270	-0.472500	-1.322500
271	-0.353750	-1.290000
272	-0.333750	-1.240000
273	-0.245000	-1.295000
274	-0.207500	-1.298750
275	-0.138750	-1.271250
276	-0.081250	-1.303750
277	0.040000	-1.288750
278	0.065000	-1.310000
279	0.015000	-1.305000
280	-0.002500	-1.347500
281	0.067500	-1.303750
282	-0.071250	-1.333750
283	-0.125000	-1.308750
284	-0.007500	-1.282500
285	0.085000	-1.256250
286	0.115000	-1.242500
287	0.120000	-1.293750
288	0.240000	-1.293750
289	0.318750	-1.297500
290	0.217500	-1.292500
291	0.242500	-1.285000
292	0.435000	-1.302500
293	0.281250	-1.255000
294	0.291250	-1.311250
295	0.422500	-1.340000
296	0.373750	-1.338750
297	0.251250	-1.275000
298	0.253750	-1.216250
299	0.296250	-1.271250
300	0.405000	-1.331250
301	0.498750	-1.390000
302	0.542500	-1.338750
303	0.565000	-1.358750
304	0.561250	-1.370000
305	0.475000	-1.323750
306	0.432500	-1.353750
307	0.455000	-1.348750
308	0.456250	-1.350000
309	0.297500	-1.288750
310	0.372500	-1.316250
311	0.400000	-1.306250
312	0.365000	-1.252500
313	0.355000	-1.335000
314	0.301250	-1.276250
315	0.388750	-1.316250
316	0.342500	-1.287500
317	0.196250	-1.278750
318	0.216250	-1.308750
319	0.205000	-1.276250
320	0.136250	-1.258750
321	0.116250	-1.237500
322	0.166250	-1.238750
323	0.258750	-1.245000
324	0.352500	-1.265000
325	0.392500	-1.317500
326	0.331250	-1.287500
327	0.401250	-1.256250
328	0.490000	-1.282500
329	0.650000	-1.355000
