#35371
#time	magnetization	energy	
0	-0.525000	-1.372500
1	-0.508750	-1.357500
2	-0.563750	-1.360000
3	-0.412500	-1.323750
4	-0.555000	-1.353750
5	-0.628750	-1.371250
6	-0.700000	-1.420000
7	-0.656250	-1.402500
8	-0.705000	-1.445000
9	-0.671250	-1.441250
10	-0.623750	-1.381250
11	-0.627500	-1.360000
12	-0.705000	-1.420000
13	-0.692500	-1.418750
14	-0.738750	-1.456250
15	-0.591250	-1.382500
16	-0.603750	-1.371250
17	-0.628750	-1.387500
18	-0.683750	-1.438750
19	-0.722500	-1.417500
20	-0.717500	-1.396250
21	-0.665000	-1.396250
22	-0.676250	-1.410000
23	-0.782500	-1.467500
24	-0.731250	-1.456250
25	-0.723750	-1.468750
26	-0.682500	-1.420000
27	-0.736250	-1.421250
28	-0.655000	-1.425000
29	-0.652500	-1.420000
30	-0.668750	-1.402500
31	-0.698750	-1.448750
32	-0.743750	-1.438750
33	-0.763750	-1.455000
34	-0.691250	-1.427500
35	-0.750000	-1.476250
36	-0.636250	-1.411250
37	-0.613750	-1.386250
38	-0.597500	-1.411250
39	-0.708750	-1.457500
40	-0.702500	-1.426250
41	-0.706250	-1.430000
42	-0.565000	-1.393750
43	-0.522500	-1.427500
44	-0.573750	-1.442500
45	-0.492500	-1.382500
46	-0.600000	-1.406250
47	-0.548750	-1.397500
48	-0.588750	-1.395000
49	-0.401250	-1.365000
50	-0.393750	-1.381250
51	-0.416250	-1.377500
52	-0.463750	-1.395000
53	-0.518750	-1.405000
54	-0.356250	-1.333750
55	-0.238750	-1.337500
56	-0.228750	-1.323750
57	-0.292500	-1.318750
58	-0.396250	-1.348750
59	-0.441250	-1.373750
60	-0.555000	-1.415000
61	-0.498750	-1.430000
62	-0.473750	-1.432500
63	-0.476250	-1.392500
64	-0.442500	-1.392500
65	-0.495000	-1.388750
66	-0.520000	-1.413750
67	-0.528750	-1.382500
68	-0.636250	-1.422500
69	-0.631250	-1.396250
70	-0.675000	-1.391250
71	-0.710000	-1.422500
72	-0.626250	-1.408750
73	-0.531250	-1.381250
74	-0.486250	-1.400000
75	-0.408750	-1.355000
76	-0.506250	-1.356250
77	-0.343750	-1.316250
78	-0.227500	-1.337500
79	-0.398750	-1.376250
80	-0.390000	-1.328750
81	-0.457500	-1.412500
82	-0.400000	-1.365000
83	-0.466250	-1.363750
84	-0.501250	-1.376250
85	-0.651250	-1.395000
86	-0.682500	-1.425000
87	-0.712500	-1.411250
88	-0.655000	-1.425000
89	-0.711250	-1.422500
90	-0.646250	-1.422500
91	-0.686250	-1.428750
92	-0.635000	-1.427500
93	-0.701250	-1.427500
94	-0.658750	-1.391250
95	-0.707500	-1.461250
96	-0.731250	-1.417500
97	-0.732500	-1.457500
98	-0.807500	-1.470000
99	-0.731250	-1.453750
100	-0.707500	-1.391250
101	-0.770000	-1.451250
102	-0.727500	-1.428750
103	-0.743750	-1.461250
104	-0.672500	-1.401250
105	-0.710000	-1.458750
106	-0.681250	-1.403750
107	-0.578750	-1.417500
108	-0.457500	-1.378750
109	-0.318750	-1.355000
110	-0.422500	-1.395000
111	-0.405000	-1.362500
112	-0.488750	-1.355000
113	-0.485000	-1.381250
114	-0.423750	-1.370000
115	-0.431250	-1.388750
116	-0.568750	-1.406250
117	-0.482500	-1.392500
118	-0.360000	-1.375000
119	-0.276250	-1.388750
120	-0.303750	-1.358750
121	-0.163750	-1.307500
122	-0.038750	-1.331250
123	-0.073750	-1.308750
124	-0.092500	-1.366250
125	-0.133750	-1.347500
126	-0.302500	-1.365000
127	-0.278750	-1.362500
128	-0.267500	-1.383750
129	-0.142500	-1.370000
130	-0.112500	-1.363750
131	0.015000	-1.327500
132	0.108750	-1.336250
133	0.048750	-1.347500
134	0.063750	-1.351250
135	0.123750	-1.375000
136	0.191250	-1.276250
137	0.157500	-1.362500
138	0.272500	-1.323750
139	0.267500	-1.300000
140	0.246250	-1.340000
141	0.352500	-1.388750
142	0.427500	-1.433750
143	0.448750	-1.408750
144	0.541250	-1.400000
145	0.575000	-1.456250
146	0.511250	-1.395000
147	0.505000	-1.355000
148	0.667500	-1.428750
149	0.628750	-1.397500
150	0.525000	-1.408750
151	0.523750	-1.427500
152	0.480000	-1.385000
153	0.420000	-1.406250
154	0.470000	-1.362500
155	0.488750	-1.412500
156	0.581250	-1.397500
157	0.596250	-1.387500
158	0.640000	-1.427500
159	0.563750	-1.385000
160	0.700000	-1.456250
161	0.717500	-1.436250
162	0.618750	-1.386250
163	0.681250	-1.413750
164	0.622500	-1.347500
165	0.691250	-1.436250
166	0.656250	-1.412500
167	0.678750	-1.455000
168	0.650000	-1.396250
169	0.553750	-1.398750
170	0.582500	-1.407500
171	0.673750	-1.446250
172	0.615000	-1.433750
173	0.592500	-1.383750
174	0.603750	-1.385000
175	0.598750	-1.370000
176	0.591250	-1.423750
177	0.605000	-1.413750
178	0.587500	-1.376250
179	0.586250	-1.360000
180	0.616250	-1.378750
181	0.687500	-1.432500
182	0.661250	-1.403750
183	0.722500	-1.436250
184	0.728750	-1.432500
185	0.713750	-1.425000
186	0.698750	-1.421250
187	0.718750	-1.418750
188	0.738750	-1.437500
189	0.807500	-1.477500
190	0.812500	-1.453750
191	0.791250	-1.483750
192	0.740000	-1.443750
193	0.745000	-1.410000
194	0.788750	-1.470000
195	0.801250	-1.462500
196	0.775000	-1.447500
197	0.772500	-1.440000
198	0.758750	-1.442500
199	0.726250	-1.421250
200	0.833750	-1.495000
201	0.762500	-1.466250
202	0.686250	-1.417500
203	0.651250	-1.416250
204	0.585000	-1.390000
205	0.560000	-1.405000
206	0.598750	-1.401250
207	0.483750	-1.392500
208	0.570000	-1.412500
209	0.505000	-1.383750
210	0.522500	-1.372500
211	0.618750	-1.397500
212	0.575000	-1.361250
213	0.680000	-1.405000
214	0.640000	-1.418750
215	0.627500	-1.381250
216	0.763750	-1.463750
217	0.742500	-1.427500
218	0.686250	-1.432500
219	0.612500	-1.408750
220	0.573750	-1.432500
221	0.601250	-1.407500
222	0.563750	-1.445000
223	0.606250	-1.381250
224	0.540000	-1.381250
225	0.502500	-1.395000
226	0.631250	-1.397500
227	0.766250	-1.456250
228	0.635000	-1.375000
229	0.605000	-1.396250
230	0.733750	-1.452500
231	0.747500	-1.472500
232	0.687500	-1.441250
233	0.603750	-1.400000
234	0.617500	-1.385000
235	0.551250	-1.362500
236	0.628750	-1.386250
237	0.657500	-1.445000
238	0.537500	-1.407500
239	0.421250	-1.363750
240	0.550000	-1.385000
241	0.662500	-1.437500
242	0.660000	-1.423750
243	0.708750	-1.391250
244	0.680000	-1.410000
245	0.683750	-1.477500
246	0.667500	-1.417500
247	0.608750	-1.381250
248	0.602500	-1.395000
249	0.558750	-1.375000
250	0.716250	-1.433750
251	0.760000	-1.477500
252	0.736250	-1.402500
253	0.696250	-1.416250
254	0.710000	-1.428750
255	0.666250	-1.396250
256	0.728750	-1.418750
257	0.811250	-1.476250
258	0.740000	-1.462500
259	0.718750	-1.437500
260	0.762500	-1.470000
261	0.743750	-1.443750
262	0.786250	-1.448750
263	0.705000	-1.396250
264	0.790000	-1.487500
265	0.762500	-1.416250
266	0.638750	-1.387500
267	0.740000	-1.446250
268	0.785000	-1.451250
269	0.792500	-1.460000
270	0.688750	-1.385000
271	0.666250	-1.392500
272	0.820000	-1.493750
273	0.753750	-1.420000
274	0.725000	-1.415000
275	0.762500	-1.468750
276	0.627500	-1.395000
277	0.690000	-1.431250
