#35485
#time	magnetization	energy	
0	0.030000	-0.680000
1	-0.105000	-0.697500
2	-0.156250	-0.743750
3	-0.082500	-0.668750
4	0.028750	-0.693750
5	-0.133750	-0.737500
6	-0.073750	-0.706250
7	-0.090000	-0.697500
8	0.035000	-0.688750
9	-0.177500	-0.715000
10	0.001250	-0.706250
11	0.088750	-0.703750
12	0.050000	-0.695000
13	-0.083750	-0.703750
14	0.042500	-0.693750
15	-0.095000	-0.705000
16	-0.023750	-0.675000
17	0.001250	-0.733750
18	-0.042500	-0.723750
19	0.071250	-0.675000
20	0.007500	-0.662500
21	-0.101250	-0.706250
22	0.008750	-0.695000
23	0.156250	-0.723750
24	-0.027500	-0.721250
25	-0.018750	-0.730000
26	-0.072500	-0.708750
27	0.097500	-0.710000
28	0.043750	-0.712500
29	-0.026250	-0.700000
30	0.018750	-0.720000
31	0.076250	-0.715000
32	-0.057500	-0.687500
33	-0.026250	-0.716250
34	-0.002500	-0.712500
35	-0.046250	-0.705000
36	-0.036250	-0.705000
37	-0.018750	-0.711250
38	0.053750	-0.705000
39	-0.031250	-0.711250
40	0.063750	-0.685000
41	-0.007500	-0.738750
42	-0.006250	-0.715000
43	0.015000	-0.693750
44	0.093750	-0.712500
45	0.043750	-0.718750
46	0.061250	-0.677500
47	0.046250	-0.716250
48	-0.055000	-0.686250
49	-0.040000	-0.702500
50	0.091250	-0.697500
51	0.076250	-0.723750
52	0.086250	-0.710000
53	-0.020000	-0.715000
54	-0.043750	-0.672500
55	-0.007500	-0.711250
56	-0.040000	-0.697500
57	-0.012500	-0.718750
58	-0.073750	-0.708750
59	-0.020000	-0.715000
60	-0.002500	-0.742500
61	-0.008750	-0.692500
62	-0.050000	-0.693750
63	-0.046250	-0.703750
64	0.036250	-0.726250
65	0.125000	-0.692500
66	0.097500	-0.681250
67	0.003750	-0.718750
68	0.002500	-0.695000
69	-0.096250	-0.723750
70	0.052500	-0.731250
71	-0.071250	-0.631250
72	0.097500	-0.715000
73	-0.020000	-0.732500
74	-0.098750	-0.688750
75	0.085000	-0.693750
76	-0.035000	-0.703750
77	-0.046250	-0.700000
78	-0.032500	-0.655000
79	0.043750	-0.698750
80	-0.030000	-0.668750
81	0.026250	-0.710000
82	-0.032500	-0.683750
83	-0.140000	-0.741250
84	-0.006250	-0.725000
85	0.041250	-0.702500
86	-0.003750	-0.657500
87	0.020000	-0.667500
88	0.160000	-0.725000
89	-0.003750	-0.760000
90	0.018750	-0.716250
91	0.093750	-0.701250
92	-0.003750	-0.726250
93	-0.030000	-0.712500
94	-0.016250	-0.676250
95	-0.050000	-0.691250
96	-0.003750	-0.722500
97	0.060000	-0.722500
98	-0.030000	-0.672500
99	-0.037500	-0.661250
100	0.067500	-0.700000
101	-0.071250	-0.671250
102	0.012500	-0.726250
103	-0.028750	-0.740000
104	-0.012500	-0.698750
105	-0.105000	-0.673750
106	0.047500	-0.712500
107	0.105000	-0.716250
108	-0.138750	-0.750000
109	-0.075000	-0.670000
110	0.080000	-0.695000
111	-0.010000	-0.693750
112	0.003750	-0.673750
113	0.058750	-0.681250
114	-0.015000	-0.706250
115	-0.026250	-0.692500
116	-0.022500	-0.662500
117	0.001250	-0.730000
118	0.071250	-0.705000
119	-0.062500	-0.725000
120	-0.028750	-0.702500
121	0.038750	-0.688750
122	0.111250	-0.647500
123	-0.108750	-0.666250
124	-0.163750	-0.747500
125	-0.016250	-0.678750
126	-0.021250	-0.700000
127	-0.013750	-0.668750
128	0.036250	-0.710000
129	0.057500	-0.725000
130	0.101250	-0.703750
131	0.058750	-0.686250
132	0.056250	-0.732500
133	0.036250	-0.713750
134	-0.007500	-0.735000
135	0.025000	-0.722500
136	-0.075000	-0.700000
137	-0.113750	-0.738750
138	-0.046250	-0.693750
139	-0.113750	-0.703750
140	-0.041250	-0.723750
141	-0.060000	-0.723750
142	0.015000	-0.678750
143	-0.040000	-0.717500
144	-0.015000	-0.687500
145	0.031250	-0.731250
146	-0.013750	-0.706250
147	0.065000	-0.730000
148	-0.042500	-0.701250
149	0.078750	-0.717500
150	-0.015000	-0.721250
151	0.043750	-0.696250
152	0.058750	-0.700000
153	0.002500	-0.676250
154	-0.072500	-0.690000
155	-0.022500	-0.707500
156	-0.036250	-0.697500
157	0.013750	-0.695000
158	-0.033750	-0.696250
159	-0.012500	-0.676250
160	-0.028750	-0.731250
161	0.056250	-0.695000
162	0.047500	-0.706250
163	-0.056250	-0.695000
164	0.046250	-0.685000
165	-0.063750	-0.710000
166	-0.067500	-0.686250
167	0.117500	-0.716250
168	-0.142500	-0.712500
169	-0.086250	-0.710000
170	-0.015000	-0.740000
171	0.123750	-0.742500
172	0.017500	-0.715000
173	0.067500	-0.715000
174	0.133750	-0.677500
175	-0.090000	-0.716250
176	-0.052500	-0.717500
177	0.066250	-0.713750
178	0.035000	-0.710000
179	0.023750	-0.715000
180	0.051250	-0.673750
181	0.153750	-0.700000
182	0.086250	-0.697500
183	-0.083750	-0.681250
184	-0.045000	-0.707500
185	0.096250	-0.661250
186	0.163750	-0.707500
187	0.006250	-0.683750
188	0.033750	-0.713750
189	-0.061250	-0.686250
190	-0.006250	-0.691250
191	-0.018750	-0.747500
192	0.018750	-0.666250
193	0.088750	-0.702500
194	0.035000	-0.735000
195	-0.003750	-0.681250
196	0.021250	-0.693750
197	-0.042500	-0.736250
198	-0.037500	-0.731250
199	-0.046250	-0.722500
200	-0.010000	-0.693750
201	0.083750	-0.715000
202	0.067500	-0.712500
203	0.050000	-0.728750
204	0.020000	-0.710000
205	-0.075000	-0.693750
206	-0.077500	-0.738750
207	-0.005000	-0.738750
208	0.037500	-0.690000
209	-0.038750	-0.718750
210	0.045000	-0.732500
211	-0.037500	-0.696250
212	0.060000	-0.702500
213	-0.073750	-0.737500
214	-0.030000	-0.733750
215	0.071250	-0.700000
216	-0.005000	-0.701250
217	0.108750	-0.715000
218	0.057500	-0.730000
219	0.038750	-0.708750
220	-0.031250	-0.717500
221	0.037500	-0.707500
222	0.045000	-0.723750
223	-0.045000	-0.693750
224	0.033750	-0.713750
225	-0.042500	-0.697500
226	0.031250	-0.692500
227	-0.066250	-0.712500
228	0.098750	-0.710000
229	-0.042500	-0.676250
230	0.041250	-0.702500
231	-0.085000	-0.652500
232	0.045000	-0.705000
233	0.063750	-0.722500
234	0.052500	-0.700000
235	-0.020000	-0.680000
236	-0.046250	-0.736250
237	0.040000	-0.707500
238	0.002500	-0.697500
239	-0.067500	-0.737500
240	0.007500	-0.715000
241	0.117500	-0.727500
242	0.060000	-0.690000
243	0.043750	-0.726250
244	-0.018750	-0.705000
245	0.075000	-0.727500
246	-0.113750	-0.727500
247	0.055000	-0.718750
248	0.037500	-0.705000
249	0.097500	-0.706250
250	-0.020000	-0.710000
251	0.025000	-0.716250
252	0.021250	-0.728750
253	0.000000	-0.671250
254	-0.047500	-0.697500
255	-0.050000	-0.713750
256	0.045000	-0.682500
257	0.066250	-0.688750
258	0.051250	-0.698750
259	-0.016250	-0.712500
260	0.020000	-0.710000
261	-0.016250	-0.696250
262	0.001250	-0.722500
263	-0.016250	-0.703750
264	-0.056250	-0.696250
265	0.015000	-0.720000
266	-0.171250	-0.717500
267	-0.051250	-0.690000
268	-0.007500	-0.747500
269	-0.007500	-0.708750
270	0.155000	-0.756250
271	0.118750	-0.700000
272	0.070000	-0.715000
273	-0.042500	-0.685000
274	-0.093750	-0.735000
275	-0.128750	-0.701250
276	0.000000	-0.717500
277	0.043750	-0.706250
278	-0.038750	-0.712500
279	0.016250	-0.703750
280	-0.002500	-0.685000
281	-0.125000	-0.696250
282	-0.105000	-0.698750
283	0.000000	-0.682500
284	0.072500	-0.696250
285	-0.103750	-0.691250
286	-0.025000	-0.713750
287	0.016250	-0.713750
288	-0.001250	-0.682500
289	0.021250	-0.702500
290	0.051250	-0.711250
291	-0.043750	-0.686250
292	-0.041250	-0.685000
293	-0.147500	-0.753750
294	0.052500	-0.697500
295	0.085000	-0.701250
296	0.001250	-0.710000
297	-0.026250	-0.717500
298	0.092500	-0.677500
299	0.008750	-0.742500
300	0.025000	-0.691250
301	-0.192500	-0.721250
302	-0.138750	-0.700000
303	-0.021250	-0.702500
304	0.057500	-0.692500
305	0.011250	-0.701250
306	0.016250	-0.732500
307	0.133750	-0.718750
308	0.041250	-0.727500
309	0.157500	-0.701250
310	0.151250	-0.727500
311	0.037500	-0.718750
312	0.021250	-0.728750
313	0.145000	-0.713750
314	0.022500	-0.696250
315	-0.093750	-0.738750
316	0.042500	-0.692500
317	-0.066250	-0.683750
318	-0.015000	-0.677500
319	-0.101250	-0.688750
320	-0.003750	-0.696250
321	-0.091250	-0.722500
322	0.013750	-0.696250
323	-0.011250	-0.730000
324	-0.075000	-0.697500
325	0.020000	-0.710000
326	0.098750	-0.658750
327	0.035000	-0.735000
328	0.086250	-0.715000
329	-0.046250	-0.681250
330	-0.088750	-0.732500
331	0.062500	-0.733750
332	0.020000	-0.681250
333	-0.046250	-0.676250
334	0.020000	-0.677500
335	-0.061250	-0.703750
336	-0.002500	-0.717500
337	-0.021250	-0.727500
338	0.005000	-0.707500
339	0.041250	-0.701250
340	0.056250	-0.751250
341	-0.085000	-0.721250
342	-0.133750	-0.715000
343	-0.020000	-0.695000
344	0.062500	-0.742500
345	0.028750	-0.717500
346	-0.025000	-0.710000
347	-0.016250	-0.707500
348	-0.058750	-0.726250
349	-0.136250	-0.717500
350	-0.061250	-0.665000
351	0.000000	-0.746250
352	0.082500	-0.705000
