#35028
#time	magnetization	energy	
0	0.790000	-1.555000
1	0.728750	-1.555000
2	0.763750	-1.553750
3	0.772500	-1.568750
4	0.808750	-1.582500
5	0.810000	-1.593750
6	0.820000	-1.555000
7	0.858750	-1.607500
8	0.845000	-1.595000
9	0.820000	-1.575000
10	0.848750	-1.581250
11	0.805000	-1.546250
12	0.783750	-1.542500
13	0.828750	-1.551250
14	0.825000	-1.571250
15	0.846250	-1.566250
16	0.910000	-1.641250
17	0.843750	-1.560000
18	0.835000	-1.560000
19	0.892500	-1.617500
20	0.878750	-1.601250
21	0.838750	-1.553750
22	0.818750	-1.575000
23	0.880000	-1.612500
24	0.838750	-1.568750
25	0.862500	-1.595000
26	0.892500	-1.621250
27	0.797500	-1.533750
28	0.830000	-1.562500
29	0.828750	-1.548750
30	0.871250	-1.600000
31	0.866250	-1.597500
32	0.857500	-1.581250
33	0.862500	-1.597500
34	0.881250	-1.592500
35	0.885000	-1.618750
36	0.851250	-1.586250
37	0.876250	-1.602500
38	0.813750	-1.562500
39	0.768750	-1.521250
40	0.746250	-1.568750
41	0.666250	-1.481250
42	0.711250	-1.543750
43	0.812500	-1.560000
44	0.810000	-1.546250
45	0.868750	-1.595000
46	0.866250	-1.625000
47	0.873750	-1.600000
48	0.846250	-1.577500
49	0.807500	-1.571250
50	0.815000	-1.560000
51	0.873750	-1.606250
52	0.853750	-1.583750
53	0.720000	-1.470000
54	0.862500	-1.581250
55	0.852500	-1.605000
56	0.818750	-1.562500
57	0.822500	-1.590000
58	0.705000	-1.523750
59	0.772500	-1.540000
60	0.828750	-1.600000
61	0.800000	-1.538750
62	0.857500	-1.596250
63	0.851250	-1.602500
64	0.855000	-1.577500
65	0.870000	-1.593750
66	0.878750	-1.607500
67	0.842500	-1.586250
68	0.885000	-1.595000
69	0.855000	-1.565000
70	0.833750	-1.570000
71	0.831250	-1.558750
72	0.810000	-1.543750
73	0.758750	-1.542500
74	0.807500	-1.567500
75	0.813750	-1.572500
76	0.782500	-1.551250
77	0.832500	-1.586250
78	0.841250	-1.596250
79	0.841250	-1.596250
80	0.850000	-1.576250
81	0.872500	-1.600000
82	0.865000	-1.603750
83	0.840000	-1.582500
84	0.766250	-1.528750
85	0.781250	-1.526250
86	0.806250	-1.571250
87	0.808750	-1.555000
