#34500
#time	magnetization	energy	
0	-0.050313	-0.950937
1	-0.050313	-0.962812
2	-0.049375	-0.960625
3	-0.029687	-0.981250
4	0.072500	-0.983750
5	0.073750	-0.978125
6	0.081250	-0.960625
7	0.020938	-0.964063
8	0.050625	-0.944063
9	0.050313	-0.952812
10	0.045312	-0.975313
11	-0.005313	-0.965625
12	-0.073750	-0.975313
13	-0.000625	-0.961250
14	-0.003438	-0.970938
15	0.020938	-0.954063
16	0.049063	-0.980625
17	0.047188	-0.980000
18	0.044375	-0.970313
19	0.018125	-0.933125
20	0.035000	-0.957812
21	0.026562	-0.960938
22	0.034063	-0.988125
23	0.044375	-0.973750
24	-0.006562	-0.978750
25	-0.013437	-0.966562
26	-0.062187	-0.966562
27	-0.005938	-0.975000
28	-0.012500	-0.968437
29	-0.074375	-0.957812
30	-0.056875	-0.961562
31	-0.016563	-0.968125
32	-0.025937	-0.970000
33	-0.074375	-0.969063
34	-0.082500	-0.972187
35	-0.100625	-0.993125
36	-0.048438	-0.951562
37	0.043125	-0.946562
38	0.004687	-0.967812
39	0.060000	-0.957500
40	0.062187	-0.983750
41	0.044062	-0.966562
42	-0.038437	-0.971250
43	-0.020313	-0.967500
44	-0.023125	-0.977812
45	0.027500	-0.971250
46	-0.023125	-0.971250
47	-0.025313	-0.975625
48	-0.047188	-0.976875
49	-0.111875	-0.961875
50	-0.137813	-0.974375
51	-0.157500	-0.976875
52	-0.137500	-0.986250
53	-0.172813	-0.987500
54	-0.123125	-0.989688
55	-0.146563	-0.966562
56	-0.106875	-0.955625
57	-0.101250	-0.953750
58	-0.133125	-0.970000
59	-0.091563	-0.977812
60	0.006250	-0.975313
61	-0.014375	-0.972812
62	-0.022500	-0.962812
63	-0.044062	-0.963125
64	0.006562	-0.963437
65	0.057188	-0.945937
66	0.029375	-0.968750
67	-0.013437	-0.940625
68	0.015000	-0.940937
69	0.007188	-0.948125
70	0.010313	-0.965938
71	0.022812	-0.960313
72	0.031250	-0.955625
73	0.038125	-0.965000
74	0.066250	-0.959688
75	0.085312	-0.952500
76	0.084062	-0.977187
77	0.053125	-0.981563
78	0.062812	-0.992188
79	0.035937	-0.989688
80	0.019062	-0.971875
81	0.055625	-0.942813
82	0.013750	-0.930000
83	0.018437	-0.981563
84	0.001563	-0.969063
85	-0.052812	-0.969688
86	-0.047188	-0.960625
87	-0.108438	-0.967500
88	-0.106250	-0.979688
89	0.032188	-0.948750
90	-0.034063	-0.983125
91	-0.055625	-0.973750
92	-0.017812	-0.947187
93	0.016563	-0.961562
94	0.097500	-0.960625
95	0.047188	-0.953750
96	0.046875	-0.977187
97	0.012188	-0.980313
98	0.050937	-0.968750
99	0.048438	-0.955625
100	0.053125	-0.961562
101	0.065937	-0.956875
102	0.060000	-0.961250
103	-0.008125	-0.975938
104	-0.017812	-0.953125
105	-0.015312	-0.963437
106	0.004375	-0.976562
107	0.048750	-0.981250
108	0.072813	-0.980000
109	0.034375	-0.970938
110	-0.046875	-0.978750
111	0.046250	-0.974688
112	0.040313	-1.002188
113	0.053437	-0.981875
114	-0.008438	-0.988437
115	-0.001875	-0.977500
