#57700
#time	magnetization	energy	
0	0.935625	-1.811875
1	0.934063	-1.808437
2	0.931250	-1.807187
3	0.942500	-1.818750
4	0.910000	-1.785313
5	0.918125	-1.799063
6	0.927500	-1.816875
7	0.922188	-1.800312
8	0.945000	-1.830313
9	0.934688	-1.812812
10	0.940312	-1.820938
11	0.933750	-1.806875
12	0.934375	-1.815937
13	0.941250	-1.821875
14	0.922188	-1.796563
15	0.931875	-1.806563
16	0.928750	-1.803750
17	0.933125	-1.813750
18	0.923438	-1.799688
19	0.922188	-1.803125
20	0.925312	-1.815937
21	0.918750	-1.802500
22	0.922500	-1.804688
23	0.924375	-1.798437
24	0.929063	-1.805625
25	0.938438	-1.816875
26	0.931875	-1.808750
27	0.937187	-1.810625
28	0.940312	-1.815937
29	0.916562	-1.797813
30	0.928438	-1.809375
31	0.937500	-1.818437
32	0.934063	-1.809063
33	0.942813	-1.823125
34	0.927813	-1.804688
35	0.940312	-1.817500
36	0.933125	-1.808437
37	0.947812	-1.830625
38	0.940937	-1.819375
39	0.932500	-1.808750
40	0.934688	-1.812812
41	0.945937	-1.825312
42	0.932500	-1.808750
43	0.927500	-1.814688
44	0.925937	-1.805937
45	0.948750	-1.827813
46	0.940625	-1.820625
47	0.935000	-1.816875
48	0.929063	-1.804375
49	0.947500	-1.824688
50	0.927500	-1.807187
51	0.935000	-1.819063
52	0.930312	-1.810938
53	0.941562	-1.821875
54	0.937187	-1.816563
55	0.929063	-1.803750
56	0.934063	-1.815937
57	0.936875	-1.818437
58	0.929688	-1.809687
59	0.933438	-1.811875
60	0.917500	-1.797500
61	0.929375	-1.801875
62	0.934375	-1.821250
63	0.912813	-1.797187
64	0.934063	-1.814062
65	0.945000	-1.827187
66	0.920625	-1.792500
67	0.933750	-1.817813
68	0.939375	-1.817813
69	0.938750	-1.812188
70	0.925625	-1.807187
71	0.917813	-1.793125
72	0.940000	-1.818437
73	0.926250	-1.800312
74	0.940312	-1.824062
75	0.931562	-1.811250
76	0.940000	-1.817813
77	0.937500	-1.813438
78	0.939375	-1.818750
79	0.943750	-1.826875
80	0.930000	-1.802188
81	0.947812	-1.834375
82	0.931562	-1.813438
83	0.934063	-1.813125
84	0.944063	-1.824688
85	0.933750	-1.819375
86	0.932813	-1.814062
87	0.933750	-1.814062
88	0.932813	-1.807500
89	0.924063	-1.805937
90	0.931875	-1.812500
91	0.930000	-1.800938
92	0.930937	-1.807187
93	0.932187	-1.814062
94	0.919687	-1.800000
95	0.932500	-1.806250
96	0.945937	-1.824062
97	0.943438	-1.819687
98	0.933750	-1.816875
99	0.925937	-1.807187
100	0.934375	-1.816250
101	0.935000	-1.812812
102	0.939375	-1.820625
103	0.934375	-1.813125
104	0.938750	-1.815937
105	0.949688	-1.829063
106	0.942500	-1.820312
107	0.928750	-1.811250
108	0.941562	-1.818750
109	0.933438	-1.820312
110	0.941250	-1.820312
111	0.924063	-1.805000
112	0.950000	-1.835312
113	0.932813	-1.809375
114	0.920625	-1.801562
115	0.907813	-1.792500
116	0.916250	-1.804062
117	0.944375	-1.825625
118	0.930312	-1.810000
119	0.930312	-1.806563
120	0.924063	-1.796875
121	0.944063	-1.827500
122	0.936562	-1.815000
123	0.930937	-1.812188
124	0.928438	-1.802500
125	0.931562	-1.813750
126	0.933438	-1.811875
127	0.935625	-1.810625
128	0.928125	-1.808125
129	0.927813	-1.804688
130	0.931562	-1.810312
131	0.942187	-1.818750
132	0.941562	-1.819375
133	0.932187	-1.806563
134	0.924375	-1.804688
135	0.931875	-1.807187
136	0.930312	-1.807500
137	0.910625	-1.790312
138	0.917500	-1.801562
139	0.938750	-1.820625
140	0.923125	-1.799688
141	0.932187	-1.813750
142	0.923438	-1.803750
143	0.923438	-1.804062
144	0.924063	-1.806563
145	0.917188	-1.797813
146	0.927188	-1.807500
147	0.935937	-1.816250
148	0.933750	-1.810000
149	0.930312	-1.808437
150	0.925312	-1.803750
151	0.932500	-1.809375
152	0.938125	-1.812812
153	0.924687	-1.800938
154	0.932500	-1.812500
155	0.934375	-1.808125
156	0.949688	-1.832500
157	0.928438	-1.807187
158	0.935000	-1.814375
159	0.933125	-1.814062
160	0.932813	-1.812188
161	0.938438	-1.810625
162	0.932500	-1.810312
163	0.934375	-1.811562
164	0.942813	-1.818125
165	0.939375	-1.815937
166	0.943125	-1.821875
167	0.928438	-1.803750
168	0.916875	-1.800312
169	0.936250	-1.812188
170	0.925625	-1.807500
171	0.918750	-1.795000
172	0.929375	-1.810312
173	0.939063	-1.822188
174	0.936562	-1.812812
175	0.940312	-1.815313
176	0.934375	-1.809375
177	0.932187	-1.805625
178	0.935312	-1.810625
179	0.918125	-1.794375
180	0.924375	-1.804062
181	0.923750	-1.801562
182	0.932500	-1.806875
183	0.945937	-1.825312
184	0.933125	-1.810312
185	0.946875	-1.825937
186	0.931875	-1.812188
187	0.931875	-1.810000
188	0.932187	-1.810000
189	0.932813	-1.815625
190	0.944375	-1.826250
191	0.932187	-1.808437
192	0.930937	-1.811250
193	0.935625	-1.809375
194	0.932187	-1.809375
195	0.935625	-1.813125
196	0.927188	-1.807813
197	0.931875	-1.806250
198	0.918438	-1.790000
199	0.943438	-1.821875
200	0.940625	-1.815313
201	0.944063	-1.823750
202	0.943125	-1.823125
203	0.923438	-1.800625
204	0.930312	-1.812188
205	0.938750	-1.813750
206	0.939063	-1.820938
207	0.935000	-1.814062
208	0.925312	-1.803125
209	0.936875	-1.812500
210	0.934375	-1.816875
211	0.926875	-1.798125
212	0.907500	-1.784687
213	0.926875	-1.807813
214	0.921562	-1.792812
215	0.938438	-1.811250
216	0.949688	-1.834375
217	0.936250	-1.818125
218	0.945937	-1.818750
219	0.928750	-1.803125
220	0.943750	-1.826250
221	0.927500	-1.799688
222	0.938750	-1.817813
223	0.936562	-1.819063
224	0.919375	-1.795625
225	0.928438	-1.806563
226	0.928438	-1.810000
227	0.931250	-1.806875
228	0.945000	-1.831562
229	0.940000	-1.824062
230	0.941250	-1.819375
231	0.941250	-1.821250
