#57700
#time	magnetization	energy	
0	0.913125	-1.765313
1	0.927813	-1.779375
2	0.913750	-1.778125
3	0.905000	-1.769062
4	0.914687	-1.766563
5	0.930625	-1.781562
6	0.937500	-1.797500
7	0.916562	-1.765000
8	0.925937	-1.775000
9	0.909375	-1.760312
10	0.894062	-1.744375
11	0.917813	-1.776563
12	0.905312	-1.756250
13	0.919687	-1.773438
14	0.922500	-1.774063
15	0.902813	-1.750000
16	0.907188	-1.765625
17	0.910937	-1.770938
18	0.915000	-1.774375
19	0.939063	-1.797500
20	0.925312	-1.784063
21	0.930312	-1.783438
22	0.910312	-1.766250
23	0.925625	-1.779062
24	0.915000	-1.766250
25	0.920625	-1.775937
26	0.923750	-1.778125
27	0.915312	-1.770312
28	0.894375	-1.750312
29	0.902813	-1.750000
30	0.915625	-1.770000
31	0.928125	-1.782188
32	0.923125	-1.777187
33	0.901563	-1.763750
34	0.912813	-1.782188
35	0.902188	-1.765313
36	0.924063	-1.778125
37	0.925312	-1.782812
38	0.921250	-1.776875
39	0.911563	-1.762500
40	0.926875	-1.781875
41	0.917813	-1.769375
42	0.921250	-1.774687
43	0.914062	-1.772188
44	0.905937	-1.760000
45	0.911875	-1.760000
46	0.924687	-1.778437
47	0.923438	-1.779688
48	0.904062	-1.752813
49	0.902188	-1.758438
50	0.908438	-1.755937
51	0.908438	-1.767500
52	0.921250	-1.782500
53	0.925625	-1.786250
54	0.922813	-1.775000
55	0.915625	-1.775625
56	0.927500	-1.785625
57	0.927500	-1.782500
58	0.913438	-1.771250
59	0.905625	-1.770000
60	0.905625	-1.757812
61	0.923125	-1.773125
62	0.916562	-1.767813
63	0.911563	-1.774063
64	0.897813	-1.755937
65	0.917500	-1.772188
66	0.907813	-1.765313
67	0.911250	-1.777500
68	0.920937	-1.783125
69	0.905000	-1.769375
70	0.908438	-1.767500
71	0.911563	-1.767187
72	0.923750	-1.776563
73	0.925312	-1.780938
74	0.931875	-1.790938
75	0.924375	-1.776875
76	0.915937	-1.766563
77	0.938125	-1.797813
78	0.921250	-1.774687
79	0.911563	-1.765000
80	0.905312	-1.764687
81	0.918125	-1.773125
82	0.907813	-1.756250
83	0.905625	-1.757812
84	0.901875	-1.751875
85	0.917813	-1.774063
86	0.925625	-1.778125
87	0.920937	-1.771875
88	0.921875	-1.791875
89	0.920000	-1.770625
90	0.923125	-1.776250
91	0.915625	-1.774687
92	0.922188	-1.766875
93	0.922813	-1.776563
94	0.924063	-1.777500
95	0.935937	-1.796563
96	0.918125	-1.768125
97	0.932187	-1.783750
