#60900
#time	magnetization	energy	
0	0.853125	-1.645625
1	0.872500	-1.656250
2	0.878750	-1.660313
3	0.889687	-1.668125
4	0.884062	-1.668750
5	0.862187	-1.647812
6	0.870938	-1.665938
7	0.823438	-1.634062
8	0.826562	-1.641875
9	0.827187	-1.640000
10	0.830937	-1.633750
11	0.834063	-1.636562
12	0.852812	-1.635625
13	0.877188	-1.665000
14	0.853750	-1.642813
15	0.845625	-1.627813
16	0.860938	-1.648438
17	0.857812	-1.646562
18	0.861875	-1.634062
19	0.858125	-1.645312
20	0.855938	-1.648125
21	0.851562	-1.650313
22	0.860313	-1.643438
23	0.886875	-1.661250
24	0.875313	-1.655312
25	0.865000	-1.648438
26	0.875625	-1.655938
27	0.873125	-1.648750
28	0.875938	-1.662813
29	0.886875	-1.662500
30	0.856563	-1.649687
31	0.858125	-1.661250
32	0.858125	-1.646875
33	0.863750	-1.656562
34	0.847187	-1.629687
35	0.847500	-1.640313
36	0.873125	-1.648125
37	0.848437	-1.633125
38	0.861250	-1.647812
39	0.867812	-1.645312
40	0.853750	-1.646562
41	0.850000	-1.647812
42	0.865000	-1.657500
43	0.886563	-1.676875
44	0.872500	-1.659687
45	0.844688	-1.649375
46	0.855938	-1.634062
47	0.848125	-1.634688
48	0.858125	-1.639375
49	0.891875	-1.672187
50	0.880313	-1.673125
51	0.870000	-1.655000
52	0.860000	-1.644375
53	0.850000	-1.642187
54	0.890938	-1.662813
55	0.889375	-1.672813
56	0.894062	-1.669687
57	0.885938	-1.671250
58	0.876875	-1.656250
59	0.883125	-1.650313
60	0.876563	-1.655000
61	0.885000	-1.667500
62	0.875000	-1.655938
63	0.882812	-1.663437
64	0.888750	-1.679062
65	0.870000	-1.660000
66	0.860625	-1.655938
67	0.869062	-1.655312
68	0.872188	-1.657500
69	0.868125	-1.648750
70	0.883437	-1.657500
71	0.895938	-1.671875
72	0.874062	-1.666250
73	0.865000	-1.641875
74	0.848437	-1.637188
75	0.855000	-1.652500
76	0.856250	-1.646562
77	0.868437	-1.662500
78	0.874062	-1.656250
79	0.871875	-1.656562
80	0.902188	-1.685312
81	0.868750	-1.650000
82	0.865938	-1.653125
83	0.884687	-1.668125
84	0.880625	-1.658750
85	0.871563	-1.655625
86	0.887500	-1.668438
87	0.878437	-1.658750
88	0.865625	-1.650313
89	0.886875	-1.673437
90	0.876250	-1.651563
91	0.870625	-1.663750
92	0.877812	-1.661250
93	0.857812	-1.660000
94	0.845625	-1.650937
95	0.848437	-1.651875
96	0.841562	-1.639063
