#56100
#time	magnetization	energy	
0	-0.069062	-1.095000
1	-0.055000	-1.100625
2	-0.091875	-1.127188
3	-0.064062	-1.087500
4	-0.053750	-1.080625
5	-0.022187	-1.103438
6	-0.017188	-1.090000
7	-0.016875	-1.086250
8	-0.076563	-1.087500
9	-0.010625	-1.082188
10	-0.001563	-1.073438
11	0.032188	-1.093750
12	0.006875	-1.089687
13	0.009062	-1.100000
14	0.019688	-1.109687
15	0.034375	-1.105312
16	0.057188	-1.119687
17	0.065625	-1.097500
18	0.029375	-1.098125
19	0.070000	-1.106875
20	0.119688	-1.132500
21	0.098125	-1.124688
22	0.099687	-1.112188
23	0.076875	-1.100313
24	0.032500	-1.103125
25	0.045312	-1.096875
26	0.044687	-1.110000
27	-0.004063	-1.108125
28	-0.013437	-1.110625
29	0.032188	-1.102500
30	0.026875	-1.112500
31	0.041250	-1.102812
32	0.059687	-1.106250
33	0.045625	-1.105625
34	-0.009062	-1.082812
35	0.020625	-1.099063
36	-0.065937	-1.092188
37	-0.079062	-1.118125
38	-0.096250	-1.079063
39	-0.149062	-1.072500
40	-0.150312	-1.097500
41	-0.127500	-1.111875
42	-0.197187	-1.124062
43	-0.180000	-1.118125
44	-0.187500	-1.120000
45	-0.176875	-1.140625
46	-0.135937	-1.115000
47	-0.167813	-1.085000
48	-0.218125	-1.122187
49	-0.199687	-1.130000
50	-0.216875	-1.120625
51	-0.175625	-1.128750
52	-0.154375	-1.128750
53	-0.168125	-1.135000
54	-0.197187	-1.130937
55	-0.165625	-1.105000
56	-0.124375	-1.121250
57	-0.110625	-1.138750
58	-0.158750	-1.110000
59	-0.203437	-1.114688
60	-0.135937	-1.108437
61	-0.094375	-1.110937
62	-0.078125	-1.109375
63	-0.067812	-1.084688
64	-0.056875	-1.100313
65	-0.041250	-1.092812
66	-0.066562	-1.098125
67	-0.027813	-1.086563
68	-0.036250	-1.091562
69	-0.028750	-1.094688
70	-0.003438	-1.121250
71	0.029687	-1.127188
72	-0.039062	-1.105625
73	-0.020313	-1.132187
74	0.021250	-1.090937
75	-0.025313	-1.107187
76	-0.026250	-1.122500
77	0.038750	-1.120000
78	0.005938	-1.112812
79	0.029687	-1.082188
80	0.040938	-1.089375
81	0.048750	-1.085625
82	0.072500	-1.105938
83	0.093750	-1.113438
84	0.082187	-1.076563
85	0.031250	-1.105312
86	0.033750	-1.100000
87	-0.011562	-1.113125
88	0.020625	-1.104375
89	-0.003750	-1.083125
90	-0.059687	-1.083438
91	-0.076563	-1.089687
92	-0.064687	-1.077813
93	-0.018125	-1.097813
94	-0.023750	-1.093750
95	-0.027813	-1.114062
96	0.003125	-1.118125
97	-0.035312	-1.108437
98	0.016250	-1.082812
99	0.030625	-1.133125
100	0.049063	-1.126250
101	0.069687	-1.124062
102	0.075313	-1.142187
103	0.012188	-1.122812
104	-0.012500	-1.122187
105	-0.019375	-1.128437
106	0.024688	-1.101875
107	-0.006250	-1.122812
108	-0.014063	-1.093750
109	0.011875	-1.093750
110	-0.007188	-1.121875
111	0.028750	-1.121250
112	-0.075625	-1.106250
113	-0.066875	-1.098125
114	-0.082500	-1.090937
115	-0.116562	-1.105938
116	-0.102188	-1.099063
117	-0.091875	-1.106562
118	-0.016563	-1.113125
119	-0.070000	-1.119687
120	-0.016563	-1.136250
121	-0.014063	-1.122500
122	-0.044062	-1.118125
123	-0.000937	-1.123125
124	-0.018125	-1.105938
125	-0.022500	-1.110625
126	-0.000625	-1.089063
127	-0.048438	-1.090625
128	-0.030625	-1.083125
129	0.007812	-1.112812
130	-0.035625	-1.130937
131	-0.057188	-1.112812
132	-0.045937	-1.118437
133	-0.025625	-1.090937
134	-0.056563	-1.085938
135	-0.059687	-1.085625
136	-0.079375	-1.116562
137	-0.088750	-1.098437
138	-0.124063	-1.084062
139	-0.033125	-1.116250
140	-0.052812	-1.108437
141	-0.083750	-1.112812
142	-0.066250	-1.140313
143	-0.060000	-1.095938
144	-0.029375	-1.110313
145	-0.032188	-1.113438
146	-0.051250	-1.119687
147	-0.037812	-1.125625
148	-0.007188	-1.109375
149	0.009062	-1.092500
150	-0.003125	-1.145312
151	0.059687	-1.102812
152	0.033125	-1.098125
153	0.102500	-1.103125
154	0.085312	-1.102500
155	0.076563	-1.111250
156	0.168750	-1.127500
157	0.171563	-1.126250
158	0.080000	-1.119687
159	0.025313	-1.097187
160	0.002500	-1.106562
161	-0.071875	-1.114688
162	-0.095625	-1.110000
163	-0.060000	-1.103125
164	-0.035000	-1.104062
165	0.015938	-1.110625
166	0.035312	-1.092812
167	0.043125	-1.099375
168	0.026250	-1.120313
169	0.039375	-1.114688
170	0.087188	-1.101562
171	0.055313	-1.082812
172	0.010937	-1.089063
173	0.007188	-1.097187
174	0.032813	-1.085312
175	0.109375	-1.088750
176	0.043125	-1.122812
177	0.085000	-1.124375
178	0.117500	-1.092188
179	0.047188	-1.077813
180	0.023125	-1.099375
181	0.047500	-1.095000
182	0.034063	-1.102500
183	0.029063	-1.130625
184	-0.015625	-1.117500
185	-0.005625	-1.100625
186	-0.001563	-1.124375
187	0.073750	-1.115625
188	0.098437	-1.102812
189	0.046562	-1.098125
190	0.049688	-1.084062
191	0.098750	-1.100937
192	0.140625	-1.088125
193	0.072813	-1.094375
194	0.052187	-1.110625
195	0.065312	-1.097500
196	0.057188	-1.103438
197	0.121875	-1.113125
198	0.090313	-1.103125
199	0.109375	-1.099375
200	0.160938	-1.101562
201	0.203437	-1.104375
202	0.161250	-1.086250
203	0.114375	-1.091562
204	0.050000	-1.081875
205	0.017812	-1.086563
206	-0.023438	-1.089375
207	-0.020313	-1.091562
208	-0.052500	-1.095000
209	-0.050313	-1.105938
210	-0.029063	-1.103438
211	0.003125	-1.104062
212	0.000313	-1.104688
213	0.016250	-1.128750
214	0.002188	-1.128437
215	-0.019375	-1.128437
216	0.005938	-1.114375
217	0.032188	-1.137500
218	0.038437	-1.087187
219	0.027813	-1.112188
220	-0.018125	-1.123438
221	-0.042500	-1.114688
222	-0.011562	-1.134062
223	-0.065937	-1.128125
224	-0.090938	-1.107813
225	-0.117188	-1.125938
226	-0.053750	-1.114062
227	-0.032188	-1.104688
228	0.008438	-1.101562
229	0.029063	-1.095938
230	0.015625	-1.121563
231	0.052812	-1.116250
232	0.069375	-1.117813
233	0.073438	-1.110000
234	0.075000	-1.126250
235	0.021875	-1.117188
236	0.030312	-1.148750
237	-0.028438	-1.089687
238	-0.015938	-1.115312
239	0.021562	-1.094062
240	0.032188	-1.119063
241	0.004687	-1.121250
242	0.021875	-1.111250
243	0.047500	-1.095625
244	0.066875	-1.105938
245	0.029687	-1.122500
246	0.093125	-1.100000
247	0.058750	-1.113750
248	0.112500	-1.124375
249	0.135625	-1.115000
250	0.146563	-1.114375
251	0.073438	-1.111250
252	0.080312	-1.103125
253	0.107813	-1.092188
254	0.081562	-1.107500
255	0.053437	-1.104062
256	0.083125	-1.101875
257	0.042188	-1.115312
258	-0.042188	-1.091250
259	-0.135937	-1.110625
260	-0.139687	-1.121875
261	-0.178125	-1.115625
262	-0.189062	-1.109063
263	-0.144063	-1.105938
264	-0.182500	-1.101562
265	-0.210000	-1.110000
266	-0.214688	-1.120313
267	-0.184062	-1.102812
268	-0.202813	-1.133750
269	-0.186250	-1.090313
270	-0.153125	-1.100000
271	-0.109063	-1.113438
272	-0.107813	-1.112500
273	-0.046562	-1.091562
274	0.034688	-1.113750
275	0.010000	-1.106562
276	-0.010937	-1.090313
277	-0.021562	-1.095938
278	0.028438	-1.118750
279	-0.020938	-1.102500
280	-0.047188	-1.105938
281	-0.061875	-1.097500
282	-0.080625	-1.104688
283	-0.155312	-1.135625
284	-0.090625	-1.113125
285	-0.027187	-1.125000
286	0.012500	-1.094688
287	0.019688	-1.107813
288	0.097812	-1.128437
289	0.063437	-1.111875
290	0.026250	-1.105938
291	-0.045937	-1.135625
292	-0.020313	-1.143125
293	0.014375	-1.102500
294	0.028750	-1.118125
295	-0.005313	-1.101875
296	-0.005625	-1.109687
297	0.029375	-1.119063
298	-0.019062	-1.123750
299	0.010313	-1.100625
300	0.088438	-1.125625
301	0.075625	-1.118750
302	0.077188	-1.105938
303	0.096562	-1.106562
304	0.113437	-1.085625
305	0.075938	-1.120000
306	0.063750	-1.098437
307	-0.025000	-1.110625
308	-0.005313	-1.099375
309	0.065625	-1.115938
310	0.056250	-1.105938
311	0.101875	-1.113750
312	0.089063	-1.122812
313	0.091250	-1.122187
314	0.103438	-1.119063
315	0.071875	-1.105312
316	0.103750	-1.083750
317	0.103750	-1.111563
318	0.055625	-1.094688
319	-0.005625	-1.085938
320	-0.034063	-1.101562
321	-0.092500	-1.087187
322	-0.125312	-1.113438
323	-0.156562	-1.124688
324	-0.152188	-1.121250
325	-0.180625	-1.125000
326	-0.165937	-1.105000
327	-0.211250	-1.121875
328	-0.148750	-1.095312
329	-0.119063	-1.103125
330	-0.015312	-1.100937
331	-0.010000	-1.090313
332	0.093750	-1.127500
333	0.080312	-1.118750
334	0.126562	-1.104375
335	0.100937	-1.093750
336	0.098125	-1.116875
337	0.069062	-1.094688
338	0.023750	-1.105000
