#60900
#time	magnetization	energy	
0	0.819063	-1.619063
1	0.860000	-1.654688
2	0.854375	-1.649687
3	0.828125	-1.630625
4	0.837187	-1.632187
5	0.857812	-1.656875
6	0.848125	-1.646875
7	0.840625	-1.639687
8	0.841250	-1.636250
9	0.828750	-1.625000
10	0.823438	-1.628125
11	0.824375	-1.630625
12	0.810000	-1.618125
13	0.810312	-1.633750
14	0.799687	-1.627188
15	0.808125	-1.624062
16	0.819063	-1.652813
17	0.814688	-1.639375
18	0.828438	-1.638125
19	0.833125	-1.649063
20	0.827187	-1.629063
21	0.828438	-1.631250
22	0.843750	-1.635000
23	0.854062	-1.647500
24	0.867500	-1.660000
25	0.858750	-1.647500
26	0.848125	-1.649687
27	0.853437	-1.653125
28	0.864375	-1.642187
29	0.854688	-1.648438
30	0.860625	-1.646562
31	0.861563	-1.650313
32	0.860000	-1.640313
33	0.855313	-1.645000
34	0.863437	-1.653437
35	0.839688	-1.628437
36	0.831562	-1.637500
37	0.794063	-1.621875
38	0.804063	-1.623750
39	0.826562	-1.647500
40	0.832187	-1.639687
41	0.808438	-1.621250
42	0.813438	-1.635312
43	0.832500	-1.648750
44	0.825313	-1.634688
45	0.830625	-1.630313
46	0.806562	-1.634375
47	0.810000	-1.625000
48	0.829688	-1.636562
49	0.844688	-1.645000
50	0.869062	-1.665312
51	0.850313	-1.637188
52	0.835313	-1.633750
53	0.851562	-1.649687
54	0.837187	-1.624688
55	0.849688	-1.637812
56	0.836250	-1.636250
57	0.817813	-1.618125
58	0.778125	-1.598125
59	0.773750	-1.605312
60	0.792813	-1.595000
61	0.830313	-1.618750
62	0.846250	-1.634375
63	0.848125	-1.645000
64	0.830937	-1.634688
65	0.815000	-1.606250
66	0.800937	-1.616875
67	0.858437	-1.656875
68	0.817813	-1.631563
69	0.841562	-1.647812
70	0.829375	-1.651875
71	0.817187	-1.626250
72	0.825625	-1.625000
73	0.841875	-1.625000
74	0.871563	-1.651250
75	0.854375	-1.644062
76	0.880000	-1.660000
77	0.829375	-1.617813
78	0.832500	-1.629375
79	0.840313	-1.651250
80	0.824063	-1.626562
81	0.800625	-1.620313
82	0.842500	-1.647188
83	0.837187	-1.634375
84	0.813125	-1.611250
85	0.832500	-1.620937
86	0.831562	-1.627813
87	0.863437	-1.644375
88	0.847500	-1.644062
89	0.857500	-1.644688
90	0.841875	-1.641875
91	0.805000	-1.620000
92	0.845313	-1.630000
93	0.851562	-1.640000
94	0.847812	-1.629687
95	0.866250	-1.645625
96	0.860938	-1.651875
97	0.868750	-1.656250
98	0.841562	-1.625312
99	0.860938	-1.659063
100	0.867812	-1.656875
101	0.856250	-1.648438
102	0.868125	-1.648125
103	0.857187	-1.647812
104	0.875625	-1.657500
105	0.873750	-1.660313
106	0.870313	-1.658438
107	0.859688	-1.646875
108	0.831875	-1.638437
109	0.840313	-1.634375
110	0.835938	-1.633125
111	0.867812	-1.660313
112	0.863437	-1.656562
113	0.861563	-1.649375
114	0.862187	-1.656562
115	0.857500	-1.648438
116	0.876563	-1.658750
117	0.836562	-1.622812
118	0.856563	-1.642813
119	0.844375	-1.640937
120	0.856250	-1.649687
121	0.840938	-1.638437
122	0.834063	-1.637188
123	0.793438	-1.631875
124	0.808750	-1.620625
125	0.847500	-1.651563
126	0.840000	-1.644062
127	0.843437	-1.636562
128	0.843125	-1.620625
129	0.856250	-1.636875
130	0.851562	-1.645625
131	0.860313	-1.650313
132	0.845938	-1.623125
133	0.864375	-1.646562
134	0.854375	-1.632500
135	0.869062	-1.659687
136	0.869687	-1.654062
137	0.867500	-1.656875
138	0.854375	-1.644375
139	0.857187	-1.650625
140	0.873125	-1.669687
141	0.833750	-1.630313
142	0.827187	-1.628750
143	0.819688	-1.620000
144	0.825000	-1.645625
145	0.832500	-1.634062
146	0.838125	-1.648438
147	0.846250	-1.659687
148	0.833438	-1.642500
149	0.805000	-1.627188
150	0.822187	-1.637500
151	0.842812	-1.653437
